2025-04-20 21:21:02 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-20 21:21:02 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-04-20 21:21:02 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-04-20 21:21:02 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-04-20 21:21:02 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-04-20 21:21:03 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-04-20 21:21:04 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-20 21:21:04 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-04-20 21:21:05 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2025-04-20 21:21:05 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-04-20 21:21:05 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-04-20 21:21:05 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-04-20 21:21:05 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2025-04-20 21:21:06 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5050"]
2025-04-20 21:21:06 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 5050 (http) with context path '/'
2025-04-20 21:21:06 [main] INFO  c.u.rental.rental.RentalApplication - Started RentalApplication in 7.052 seconds (process running for 7.44)
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Count authority
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A0, description=A0)
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A1, description=A1)
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A2, description=A2)
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A3, description=A3)
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Create authority: AuthorityDTO(id=0, name=A4, description=A4)
2025-04-20 21:21:06 [main] INFO  c.u.r.r.service.impl.RoleServiceImpl - Count role
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get all authority
2025-04-20 21:21:06 [main] INFO  c.u.r.r.service.impl.RoleServiceImpl - Create Role: RoleDTO(id=0, roleName=ROOT, roleDes=Chủ hệ thống, authorityDTOs=[AuthorityDTO(id=2, name=A1, description=A1), AuthorityDTO(id=5, name=A4, description=A4), AuthorityDTO(id=1, name=A0, description=A0), AuthorityDTO(id=4, name=A3, description=A3), AuthorityDTO(id=3, name=A2, description=A2)])
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:2
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:5
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:1
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:4
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:3
2025-04-20 21:21:06 [main] INFO  c.u.r.r.service.impl.RoleServiceImpl - Create Role: RoleDTO(id=0, roleName=OWNER, roleDes=Chủ trọ, authorityDTOs=[AuthorityDTO(id=2, name=A1, description=A1), AuthorityDTO(id=5, name=A4, description=A4), AuthorityDTO(id=1, name=A0, description=A0), AuthorityDTO(id=4, name=A3, description=A3), AuthorityDTO(id=3, name=A2, description=A2)])
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:2
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:5
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:1
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:4
2025-04-20 21:21:06 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Get authority by id:3
2025-04-20 21:21:06 [main] INFO  c.u.r.r.service.impl.RoleServiceImpl - Create Role: RoleDTO(id=0, roleName=STAFF, roleDes=Nhân viên, authorityDTOs=[])
2025-04-20 21:21:06 [main] INFO  c.u.r.r.service.impl.RoleServiceImpl - Create Role: RoleDTO(id=0, roleName=USER, roleDes=Khách thuê, authorityDTOs=[])
2025-04-20 21:21:06 [main] INFO  c.u.r.r.service.impl.UserServiceImpl - Count user
2025-04-20 21:21:06 [main] INFO  c.u.r.r.service.impl.RoleServiceImpl - find Role by roleName: ROOT
2025-04-20 21:22:36 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-04-20 21:22:36 [main] INFO  c.u.rental.rental.RentalApplication - Starting RentalApplication using Java 17.0.10 with PID 12572 (D:\UTC\quanlynhatro\rental\target\classes started by admin in D:\UTC\quanlynhatro\rental)
2025-04-20 21:22:36 [main] INFO  c.u.rental.rental.RentalApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-20 21:22:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-20 21:22:38 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 100 ms. Found 6 JPA repository interfaces.
2025-04-20 21:22:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 5050 (http)
2025-04-20 21:22:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5050"]
2025-04-20 21:22:38 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-20 21:22:38 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-04-20 21:22:39 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-20 21:22:39 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2172 ms
2025-04-20 21:22:39 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-04-20 21:22:39 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2328ec73
2025-04-20 21:22:39 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-04-20 21:22:39 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-20 21:22:39 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-04-20 21:22:39 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-04-20 21:22:39 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-04-20 21:22:39 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-04-20 21:22:40 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-04-20 21:22:41 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-20 21:22:41 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-04-20 21:22:41 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2025-04-20 21:22:42 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-04-20 21:22:42 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-04-20 21:22:42 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2025-04-20 21:22:43 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5050"]
2025-04-20 21:22:43 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 5050 (http) with context path '/'
2025-04-20 21:22:43 [main] INFO  c.u.rental.rental.RentalApplication - Started RentalApplication in 6.836 seconds (process running for 7.264)
2025-04-20 21:22:43 [main] INFO  c.u.r.r.s.impl.AuthorityServiceImpl - Count authority
2025-04-20 21:22:43 [main] INFO  c.u.r.r.service.impl.RoleServiceImpl - Count role
2025-04-20 21:22:43 [main] INFO  c.u.r.r.service.impl.UserServiceImpl - Count user
2025-04-20 21:26:44 [http-nio-5050-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-20 21:26:44 [http-nio-5050-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-20 21:26:44 [http-nio-5050-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-04-20 21:26:44 [http-nio-5050-exec-2] ERROR c.u.r.r.s.s.JwtAuthenticationFilter - Could not set user authentication in security context
com.utc.rental.rental.api.error.UnauthorizedException: Invalid JWT signature
	at com.utc.rental.rental.security.securityv2.JwtTokenProvider.validateToken(JwtTokenProvider.java:109)
	at com.utc.rental.rental.security.securityv2.JwtAuthenticationFilter.doFilterInternal(JwtAuthenticationFilter.java:46)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.wrapFilter(ObservationFilterChainDecorator.java:240)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.doFilter(ObservationFilterChainDecorator.java:227)
	at org.springframework.security.web.ObservationFilterChainDecorator$VirtualFilterChain.doFilter(ObservationFilterChainDecorator.java:137)
	at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:107)
	at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:93)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.wrapFilter(ObservationFilterChainDecorator.java:240)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.doFilter(ObservationFilterChainDecorator.java:227)
	at org.springframework.security.web.ObservationFilterChainDecorator$VirtualFilterChain.doFilter(ObservationFilterChainDecorator.java:137)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:110)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.wrapFilter(ObservationFilterChainDecorator.java:240)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.doFilter(ObservationFilterChainDecorator.java:227)
	at org.springframework.security.web.ObservationFilterChainDecorator$VirtualFilterChain.doFilter(ObservationFilterChainDecorator.java:137)
	at org.springframework.web.filter.CorsFilter.doFilterInternal(CorsFilter.java:91)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.wrapFilter(ObservationFilterChainDecorator.java:240)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.doFilter(ObservationFilterChainDecorator.java:227)
	at org.springframework.security.web.ObservationFilterChainDecorator$VirtualFilterChain.doFilter(ObservationFilterChainDecorator.java:137)
	at org.springframework.security.web.header.HeaderWriterFilter.doHeadersAfter(HeaderWriterFilter.java:90)
	at org.springframework.security.web.header.HeaderWriterFilter.doFilterInternal(HeaderWriterFilter.java:75)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.wrapFilter(ObservationFilterChainDecorator.java:240)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.doFilter(ObservationFilterChainDecorator.java:227)
	at org.springframework.security.web.ObservationFilterChainDecorator$VirtualFilterChain.doFilter(ObservationFilterChainDecorator.java:137)
	at org.springframework.security.web.context.SecurityContextHolderFilter.doFilter(SecurityContextHolderFilter.java:82)
	at org.springframework.security.web.context.SecurityContextHolderFilter.doFilter(SecurityContextHolderFilter.java:69)
	at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.wrapFilter(ObservationFilterChainDecorator.java:240)
